Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
Chandigarh Transport Undertaking (CTU) - 165750,HVAC Seater (2+3),12:20,15:05,02h 45m,INR 195.6,44 Seats available,"4.0
40",https://www.redbus.in/bus-tickets/yamuna-nagar-to-chandigarh,Yamuna Nagar to Chandigarh
Chandigarh Transport Undertaking (CTU) - 165752,HVAC Seater (2+3),14:20,17:05,02h 45m,INR 195.6,46 Seats available,"4.0
55",https://www.redbus.in/bus-tickets/yamuna-nagar-to-chandigarh,Yamuna Nagar to Chandigarh
Zimindara Travels,AC Sleeper (2+1),20:30,00:30,04h 00m,INR 699,36 Seats available,4.1,https://www.redbus.in/bus-tickets/yamuna-nagar-to-chandigarh,Yamuna Nagar to Chandigarh
SHRI KRISHNA TRAVELS (JAI SHREE GANESH YATRA CO.),VE A/C Seater / Sleeper (2+1),20:40,23:30,02h 50m,INR 599,28 Seats available,3.7,https://www.redbus.in/bus-tickets/yamuna-nagar-to-chandigarh,Yamuna Nagar to Chandigarh
SHRI KRISHNA TRAVELS (JAI SHREE GANESH YATRA CO.),VE A/C Seater / Sleeper (2+1),00:30,02:30,02h 00m,INR 699,20 Seats available,3.7,https://www.redbus.in/bus-tickets/yamuna-nagar-to-chandigarh,Yamuna Nagar to Chandigarh
SHRI KRISHNA TRAVELS (JAI SHREE GANESH YATRA CO.),VE A/C Seater / Sleeper (2+1),02:20,04:20,02h 00m,INR 1299,21 Seats available,3.7,https://www.redbus.in/bus-tickets/yamuna-nagar-to-chandigarh,Yamuna Nagar to Chandigarh
SHRI KRISHNA TRAVELS (JAI SHREE GANESH YATRA CO.),VE A/C Seater / Sleeper (2+1),02:20,04:35,02h 15m,INR 1299,21 Seats available,3.7,https://www.redbus.in/bus-tickets/yamuna-nagar-to-chandigarh,Yamuna Nagar to Chandigarh
City Land Travels,A/C Seater/Sleeper (2+1),22:20,00:20,02h 00m,979,32 Seats available,3.6,https://www.redbus.in/bus-tickets/yamuna-nagar-to-chandigarh,Yamuna Nagar to Chandigarh
Shree Mahaveer Travels Jaipur,VE A/C Seater / Sleeper (2+1),02:10,05:30,03h 20m,719,5 Seats available,3.5,https://www.redbus.in/bus-tickets/yamuna-nagar-to-chandigarh,Yamuna Nagar to Chandigarh
Vijay Tour and Travels,Bharat Benz A/C Seater /Sleeper (2+1),01:10,03:30,02h 20m,INR 399,36 Seats available,3.5,https://www.redbus.in/bus-tickets/yamuna-nagar-to-chandigarh,Yamuna Nagar to Chandigarh
Vijay Tour and Travels,Bharat Benz A/C Seater /Sleeper (2+1),21:00,23:30,02h 30m,INR 599,38 Seats available,3.5,https://www.redbus.in/bus-tickets/yamuna-nagar-to-chandigarh,Yamuna Nagar to Chandigarh
Vijay Tour and Travels,Bharat Benz A/C Seater /Sleeper (2+1),03:10,05:30,02h 20m,INR 699,38 Seats available,3.5,https://www.redbus.in/bus-tickets/yamuna-nagar-to-chandigarh,Yamuna Nagar to Chandigarh
Golden Temple Volvo Bus Service,A/C Seater / Sleeper (2+1),00:55,02:53,01h 58m,INR 686,30 Seats available,3.0,https://www.redbus.in/bus-tickets/yamuna-nagar-to-chandigarh,Yamuna Nagar to Chandigarh
Chandigarh Transport Undertaking (CTU) - 165681,HVAC Seater (2+3),07:00,12:35,05h 35m,INR 414.3,46 Seats available,"4.4
57",https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Chandigarh to Delhi
Chandigarh Transport Undertaking (CTU) - 165684,HVAC Seater (2+3),07:55,13:30,05h 35m,INR 414.3,47 Seats available,"3.9
20",https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Chandigarh to Delhi
Chandigarh Transport Undertaking (CTU) - 165687,HVAC Seater (2+3),08:25,14:00,05h 35m,INR 404.76,47 Seats available,"3.9
29",https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Chandigarh to Delhi
Chandigarh Transport Undertaking (CTU) - 165676,HVAC Seater (2+3),09:25,15:00,05h 35m,INR 414.3,46 Seats available,"4.2
33",https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Chandigarh to Delhi
Chandigarh Transport Undertaking (CTU) - 165689,HVAC Seater (2+3),10:30,16:05,05h 35m,INR 414.3,46 Seats available,"3.8
39",https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Chandigarh to Delhi
Chandigarh Transport Undertaking (CTU) - 165691,HVAC Seater (2+3),11:20,16:55,05h 35m,INR 414.3,47 Seats available,"3.7
40",https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Chandigarh to Delhi
Chandigarh Transport Undertaking (CTU) - 165693,HVAC Seater (2+3),12:30,18:05,05h 35m,INR 414.3,47 Seats available,"3.6
59",https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Chandigarh to Delhi
Chandigarh Transport Undertaking (CTU) - 165697,HVAC Seater (2+3),14:00,19:35,05h 35m,INR 414.3,47 Seats available,"4.2
46",https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Chandigarh to Delhi
Chandigarh Transport Undertaking (CTU) - 165709,HVAC Seater (2+3),14:30,20:05,05h 35m,INR 414.3,47 Seats available,"3.8
39",https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Chandigarh to Delhi
Chandigarh Transport Undertaking (CTU) - 165720,HVAC Seater (2+3),15:30,21:05,05h 35m,INR 414.3,47 Seats available,"3.7
39",https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Chandigarh to Delhi
Chandigarh Transport Undertaking (CTU) - 165722,HVAC Seater (2+3),16:30,22:05,05h 35m,INR 414.3,47 Seats available,"3.3
36",https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Chandigarh to Delhi
Chandigarh Transport Undertaking (CTU) - 165724,HVAC Seater (2+3),17:00,22:35,05h 35m,INR 414.3,47 Seats available,"3.9
14",https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Chandigarh to Delhi
Chandigarh Transport Undertaking (CTU) - 165726,HVAC Seater (2+3),17:30,23:05,05h 35m,INR 414.3,47 Seats available,"3.7
16",https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Chandigarh to Delhi
Deltin Travels,Volvo 9600 A/C Semi Sleeper (2+2),00:15,04:40,04h 25m,INR 595,7 Seats available,"3.1
22",https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Chandigarh to Delhi
FlixBus,Volvo A/C Seater (2+2),00:25,05:00,04h 35m,INR 571.12,17 Seats available,4.1,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Chandigarh to Delhi
Subh Yatri Holidays,Volvo A/C Semi Sleeper (2+2),00:25,05:00,04h 35m,657,33 Seats available,3.1,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Chandigarh to Delhi
AdFlixBus,AC Seater (2+2),08:00,13:40,05h 40m,INR 221.76,33 Seats available,"4.5
89",https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Chandigarh to Delhi
Laxmi holidays,Volvo 9600 A/C Semi Sleeper (2+2),00:30,04:45,04h 15m,475,3 Seats available,"4.6
53",https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Chandigarh to Delhi
Ram Dalal Holidays,Volvo A/C Semi Sleeper (2+2),00:30,05:00,04h 30m,550,2 Seats available,"3.6
7",https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Chandigarh to Delhi
FlixBus,Volvo A/C Seater (2+2),00:45,05:35,04h 50m,INR 506,18 Seats available,4.1,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Chandigarh to Delhi
AdKhurana Bus Service,Volvo A/C (2+2),21:10,02:15,05h 05m,400,32 Seats available,"3.6
48",https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Chandigarh to Delhi
Zingbus Plus,Volvo 9600 A/C Semi Sleeper (2+2),01:40,06:30,04h 50m,376,9 Seats available,"4.6
61",https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Chandigarh to Delhi
Ram Dalal Holidays,Mercedes Multi-Axle Semi Sleeper (2+2),01:00,06:40,05h 40m,550,2 Seats available,"4.7
10",https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Chandigarh to Delhi
Zingbus Plus,Volvo A/C Semi Sleeper (2+2),01:05,05:30,04h 25m,522,2 Seats available,"4.5
174",https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Chandigarh to Delhi
Laxmi holidays,Volvo 9600 A/C Semi Sleeper (2+2),01:00,05:30,04h 30m,475,7 Seats available,"4.6
87",https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Chandigarh to Delhi
Bedi Travels,Volvo A/C Semi Sleeper (2+2),00:55,05:30,04h 35m,477,2 Seats available,"5.0
6",https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Chandigarh to Delhi
