Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
HRTC - 69,Himsuta AC Seater Volvo/Scania 2+2,00:40,09:30,08h 50m,INR 912,26 Seats available,"4.7
60",https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla
HRTC - 6,Himsuta AC Seater Volvo/Scania 2+2,06:45,16:10,09h 25m,INR 912,30 Seats available,"4.4
58",https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla
HRTC - 592,A/C Executive (2+3),08:05,18:10,10h 05m,INR 632,42 Seats available,"2.7
13",https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla
HRTC - 129,Ordinary 3+2 Non AC Seater,08:50,18:40,09h 50m,INR 512,37 Seats available,"2.6
4",https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla
HRTC - 7,Himsuta AC Seater Volvo/Scania 2+2,09:25,18:30,09h 05m,INR 912,28 Seats available,"4.6
80",https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla
HRTC - 657,Ordinary 3+2 Non AC Seater,11:00,22:00,11h 00m,INR 512,33 Seats available,"2.7
8",https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla
HRTC - 515,Ordinary 3+2 Non AC Seater,12:30,22:50,10h 20m,INR 512,37 Seats available,4.2,https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla
HRTC - 551,A/C Executive (2+3),15:30,01:30,10h 00m,INR 632,42 Seats available,"4.0
9",https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla
HRTC - 525,Ordinary 3+2 Non AC Seater,16:50,03:00,10h 10m,INR 512,26 Seats available,4.2,https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla
HRTC - 532,Ordinary 3+2 Non AC Seater,17:59,04:15,10h 16m,INR 512,27 Seats available,"2.5
5",https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla
HRTC - 538,Ordinary 3+2 Non AC Seater,18:31,05:30,10h 59m,INR 512,27 Seats available,"4.6
7",https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla
HRTC - 93,Himsuta AC Seater Volvo/Scania 2+2,19:35,04:45,09h 10m,INR 912,28 Seats available,"3.6
39",https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla
HRTC - 301,Ordinary 3+2 Non AC Seater,19:43,05:30,09h 47m,INR 512,27 Seats available,"4.5
4",https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla
HRTC - 556,Ordinary 3+2 Non AC Seater,20:10,05:45,09h 35m,INR 512,27 Seats available,"4.5
10",https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla
HRTC - 591,A/C Executive (2+3),21:00,07:20,10h 20m,INR 632,40 Seats available,"3.7
45",https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla
HRTC - 8,Himsuta AC Seater Volvo/Scania 2+2,21:02,06:30,09h 28m,INR 912,27 Seats available,"4.7
86",https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla
HRTC - 570,Ordinary 3+2 Non AC Seater,21:25,06:45,09h 20m,INR 512,37 Seats available,"2.6
8",https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla
HRTC - 20,Himsuta AC Seater Volvo/Scania 2+2,21:36,05:30,07h 54m,INR 887,26 Seats available,"4.0
67",https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla
