Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
Kadamba Transport Corporation Limited (KTCL) - 89821,A/C Sleeper (2+1),19:15,05:50,10h 35m,INR 1000,5 Seats available,"3.7
336",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Ashray Travels,Non A/C Seater / Sleeper (2+1),21:15,07:45,10h 30m,INR 349,26 Seats available,"4.2
340",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
IntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),21:00,08:05,11h 05m,INR 399,18 Seats available,"4.3
404",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
AdIntrCity SmartBus,Bharat Benz A/C Sleeper (2+1),21:30,08:45,11h 15m,INR 599,6 Seats available,"4.2
433",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Gogte Anand Travels,Volvo Multi-Axle I-Shift A/C Sleeper (2+1),21:15,07:55,10h 40m,INR 699,23 Seats available,"4.0
106",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Indumati Travels,A/C Sleeper (2+1),22:20,08:30,10h 10m,584,17 Seats available,"4.2
383",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
IntrCity SmartBus,Bharat Benz A/C Sleeper (2+1),22:30,08:45,10h 15m,INR 603,11 Seats available,"4.3
238",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Ashray Grand,Volvo Multi-Axle A/C Sleeper (2+1),21:00,10:15,13h 15m,INR 900,19 Seats available,"4.2
519",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
IntrCity SmartBus,AC Sleeper (2+1),21:55,08:20,10h 25m,INR 699,12 Seats available,"4.0
278",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
IntrCity SmartBus,AC Sleeper (2+1),23:30,09:50,10h 20m,INR 699,18 Seats available,"4.3
257",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Ashray Amrutyog,A/C Sleeper (2+1),22:00,09:30,11h 30m,INR 749,9 Seats available,"4.3
557",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Traveltime Travels (Kelkar),NON A/C Seater/ Sleeper (2+1),21:00,09:40,12h 40m,360,11 Seats available,"3.1
160",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Gogte Anand Travels,Volvo Multi-Axle I-Shift A/C Sleeper (2+1),23:30,10:25,10h 55m,INR 799,22 Seats available,"4.3
44",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Dolphin Travel House (38),Bharat Benz A/C Sleeper (2+1),20:30,07:30,11h 00m,INR 610,3 Seats available,"4.1
52",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Laxmi-Princess Nova,Non A/C Seater / Sleeper (2+1),20:00,07:30,11h 30m,INR 399,6 Seats available,"4.2
223",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Atmaram Gobus,NON A/C Sleeper (2+1),20:30,07:00,10h 30m,INR 650,10 Seats available,"4.0
210",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
KVT Narmada Benz,Bharat Benz A/C Sleeper (2+1),22:00,08:00,10h 00m,INR 600,19 Seats available,"4.0
16",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Ashray National Express,NON A/C Sleeper (2+1),20:00,06:45,10h 45m,INR 549,6 Seats available,"4.3
155",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Atmaram Gobus,VE A/C Sleeper (2+1),22:30,08:45,10h 15m,INR 660,7 Seats available,"4.5
492",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Zingbus Plus,Bharat Benz A/C Sleeper (2+1),23:00,10:25,11h 25m,660,24 Seats available,"4.0
378",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
IntrCity SmartBus,AC Sleeper (2+1),22:00,08:15,10h 15m,INR 846,4 Seats available,"4.1
65",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Ashray Atmaram Divine,NON A/C Sleeper (1+2),19:45,06:45,11h 00m,INR 549,4 Seats available,"4.0
484",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Atmaram Gobus,VE A/C Sleeper (2+1),21:00,07:45,10h 45m,INR 660,3 Seats available,"4.6
591",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Zingbus Plus,VE A/C Sleeper (2+1),00:10,13:05,12h 55m,637,19 Seats available,"4.1
385",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Humsafar Travels,A/C Sleeper (2+1),22:45,09:45,11h 00m,INR 950,15 Seats available,"4.1
7",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Rajdhani Travels Corporation,VE A/C Sleeper (2+1),23:15,09:35,10h 20m,INR 849,8 Seats available,"4.1
63",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
IntrCity SmartBus,AC Sleeper (2+1),22:05,09:10,11h 05m,INR 699,10 Seats available,"4.0
98",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
KVT Narmada Benz,Bharat Benz A/C Sleeper (2+1),21:25,08:01,10h 36m,INR 600,17 Seats available,"3.7
330",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Ashray Pearl,Volvo Multi-Axle A/C Sleeper (2+1),22:30,08:30,10h 00m,INR 711,25 Seats available,"3.9
423",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Laxmi Queen Prime,A/C Sleeper (2+1),20:30,07:30,11h 00m,INR 650,13 Seats available,"3.9
278",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Laxmi Queen Asta,A/C Sleeper (2+1),21:30,08:00,10h 30m,INR 650,16 Seats available,"3.8
113",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Laxmi Empress Stellar,NON A/C Sleeper (2+1),21:00,08:00,11h 00m,INR 599,15 Seats available,"3.8
202",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
